JARAMILLO,35826
GALINDO,35808
HALEY,35805
MOYER,35709
CHO,35679
BOOKER,35648
ZHU,35639
DODSON,35618
KRUEGER,35568
FRYE,35502
RICHMOND,35493
MULLEN,35464
HUBER,35444
BEAN,35379
BUI,35375
HORNE,35295
RASMUSSEN,35292
SHEPPARD,35274
WOODWARD,35266
MCPHERSON,35248
BRANDT,35211
MCCARTY,35172
DONALDSON,35108
QUINONES,35066
SPENCE,35005
KANG,34834
OCONNELL,34829
MAYNARD,34753
SCHMITT,34747
ESTES,34729
SANFORD,34723
MADDOX,34687
COFFEY,34539
STUART,34534
BURCH,34518
CARDONA,34471
GOOD,34414
STANTON,34407
FAULKNER,34330
DUDLEY,34312
COMPTON,34287
HINTON,34256
CHURCH,34224
WALLER,34222
REYNA,34210
CHERRY,34179
MADDEN,34170
ROSA,34111
PROCTOR,34084
MCCANN,34078
DAVIES,33945
ABRAHAM,33875
HAAS,33872
TERRELL,33860
JIANG,33838
BIRD,33829
KAUFMAN,33814
JARVIS,33745
BRAUN,33654
MCGRATH,33611
GALLOWAY,33610
NOVAK,33606
DICKSON,33594
MAYO,33564
LY,33559
HESTER,33543
HENDRIX,33528
ARCHER,33513
PETTY,33510
WHITNEY,33509
ROLLINS,33500
BARRIOS,33453
FORBES,33424
SAENZ,33424
BAIRD,33405
POLLARD,33334
DUKE,33324
DAUGHERTY,33317
WERNER,33291
ROWLAND,33181
ODOM,33171
TRAVIS,33156
CANTRELL,33141
VERA,33109
SALDANA,33069
HATFIELD,33047
HAYS,33013
HONG,33012
HOLDEN,32979
BRANCH,32953
MCKNIGHT,32935
MERCER,32906
JOYCE,32875
RIGGS,32857
BAEZ,32855
ZAPATA,32804
VELASCO,32791
DOWNS,32664
KRAUSE,32639
MCNEIL,32607
HOOPER,32518
NG,32518
BARLOW,32516
IRWIN,32386
TOVAR,32379
COOLEY,32317
LIANG,32308
BRAY,32301
KAISER,32286
GAMBLE,32189
PEREIRA,32169
FERRELL,32159
LAW,32116
LINDSAY,32075
BRIGHT,32068
KIDD,32068
EWING,32030
NOEL,31994
HOLDER,31959
FREY,31948
MCGOWAN,31927
SHEA,31836
MOONEY,31792
KEY,31773
CHANEY,31687
COTTON,31686
RITTER,31649
BECERRA,31625
BONNER,31621
CARNEY,31572
GUPTA,31571
LEHMAN,31533
DOTSON,31521
MERRILL,31507
HANEY,31479
RIDDLE,31463
COOKE,31451
HOLMAN,31438
NEWELL,31405
FRITZ,31402
AGUILERA,31397
DELANEY,31364
DAILEY,31350
BOLTON,31334
LANCASTER,31286
SONG,31257
CASTELLANOS,31212
HASSAN,31210
LAKE,31187
CORDERO,31145
JUSTICE,31110
OSBORN,31099
BYERS,31082
GOFF,31014
SLATER,30996
LEVINE,30989
VALLE,30968
SEARS,30821
FULTON,30773
WINTER,30758
MUNIZ,30731
COSTELLO,30728
KATZ,30668
GALLARDO,30653
CARVER,30640
MCFADDEN,30612
GUTHRIE,30592
COWAN,30577
DALY,30517
KUHN,30443
ALBERT,30390
SNIDER,30372
MCLEOD,30359
GUY,30348
LUTZ,30324
WORKMAN,30287
LAU,30237
PICKETT,30232
DONNELLY,30193
MALONEY,30192
KINNEY,30180
SPRINGER,30177
SEGURA,30149
WITT,30145
ORELLANA,30123
GORMAN,30102
MINOR,30050
MARINO,30047
CRAFT,30031
CROWLEY,30022
PEARCE,29981
CLEVELAND,29935
DONAHUE,29903
GAY,29878
CHU,29872
BEACH,29830
HURTADO,29827
MCDERMOTT,29807
TILLMAN,29796
GUILLEN,29792
BRUNO,29776
DILLARD,29768
OSORIO,29742
VOGEL,29742
HU,29734
ALFORD,29646
FLANAGAN,29609
MCCABE,29608
BRITT,29594
ALONSO,29520
WILDER,29512
HARTLEY,29504
WOOTEN,29503
CARRASCO,29489
LANGE,29442
DODD,29440
STARR,29409
HENDRICKSON,29408
SHOEMAKER,29407
FINCH,29401
ODELL,29381
MOSER,29325
EMERSON,29261
